track_id,class_name,speed_kmh,speed_limit_kmh,is_violation,time_sec,frame_idx,x1,y1,x2,y2
16,motorcycle,75.0,50.0,True,1.36,34,666,422,751,571
4,motorcycle,40.91,50.0,False,2.12,53,939,421,1023,564
22,motorcycle,54.0,50.0,True,2.96,74,382,430,463,569
6,motorcycle,50.0,50.0,False,3.12,78,538,485,600,575
45,motorcycle,67.5,50.0,True,3.2,80,653,426,742,566
84,car,48.21,50.0,False,5.04,126,715,393,871,567
137,motorcycle,75.0,50.0,True,7.6,190,727,453,797,567
126,motorcycle,67.5,50.0,True,7.68,192,600,475,663,570
148,car,54.0,50.0,True,8.6,215,770,347,959,566
186,motorcycle,84.37,50.0,True,9.56,239,1044,482,1115,570
180,motorcycle,61.36,50.0,True,9.8,245,784,465,860,566
179,car,37.5,50.0,False,10.32,258,506,390,699,634
206,motorcycle,56.25,50.0,True,11.2,280,713,458,792,568
222,motorcycle,61.36,50.0,True,12.44,311,919,452,997,562
284,motorcycle,48.21,50.0,False,14.16,354,441,429,527,564
295,motorcycle,56.25,50.0,True,15.28,382,509,437,584,566
296,motorcycle,51.92,50.0,True,16.08,402,786,429,871,564
287,motorcycle,33.75,50.0,False,16.52,413,288,450,378,571
297,motorcycle,79.41,50.0,True,16.88,422,1061,472,1148,575
311,motorcycle,61.36,50.0,True,18.36,459,675,462,744,560
329,car,79.41,50.0,True,18.4,460,970,387,1173,564
312,motorcycle,54.0,50.0,True,18.4,460,872,497,939,587
337,motorcycle,58.7,50.0,True,18.72,468,559,474,621,571
349,motorcycle,67.5,50.0,True,20.0,500,835,473,898,562
357,motorcycle,71.05,50.0,True,21.24,531,907,439,998,567
431,car,64.29,50.0,True,24.2,605,961,392,1147,561
407,car,34.62,50.0,False,24.36,609,472,376,619,563
443,motorcycle,64.29,50.0,True,24.76,619,942,478,1006,563
444,car,25.0,50.0,False,26.6,665,391,370,548,561
449,car,39.71,50.0,False,26.72,668,748,381,907,561
524,motorcycle,56.25,50.0,True,29.68,742,917,442,1002,567
618,motorcycle,58.7,50.0,True,32.12,803,1063,478,1149,577
694,motorcycle,45.0,50.0,False,34.92,873,290,478,348,562
715,motorcycle,61.36,50.0,True,35.52,888,1004,463,1077,561
746,car,33.75,50.0,False,38.12,953,735,397,909,569
755,motorcycle,42.19,50.0,False,38.12,953,444,488,501,575
760,motorcycle,64.29,50.0,True,38.76,969,1076,474,1154,568
764,motorcycle,56.25,50.0,True,39.12,978,725,463,790,562
817,car,38.57,50.0,False,39.6,990,860,388,1041,560
807,car,33.75,50.0,False,39.72,993,551,396,695,564
834,motorcycle,51.92,50.0,True,40.68,1017,451,469,511,560
822,motorcycle,42.19,50.0,False,40.96,1024,780,473,845,562
865,motorcycle,40.91,50.0,False,41.44,1036,693,474,754,566
856,motorcycle,50.0,50.0,True,42.0,1050,416,445,499,565
863,motorcycle,61.36,50.0,True,42.92,1073,1008,477,1085,567
898,motorcycle,58.7,50.0,True,43.4,1085,975,470,1042,562
939,motorcycle,51.92,50.0,True,45.84,1146,492,469,553,562
899,motorcycle,45.0,50.0,False,47.52,1188,303,435,401,566
1006,motorcycle,34.62,50.0,False,50.0,1250,422,450,487,561
1014,car,35.53,50.0,False,50.32,1258,810,440,999,620
1029,car,42.19,50.0,False,51.72,1293,741,389,901,562
1046,motorcycle,43.55,50.0,False,51.96,1299,498,428,584,567
1043,motorcycle,37.5,50.0,False,52.48,1312,425,478,484,560
1073,car,38.57,50.0,False,53.72,1343,663,370,816,564
1089,car,48.21,50.0,False,53.88,1347,876,409,1054,567
1132,motorcycle,46.55,50.0,False,56.8,1420,668,470,738,562
1189,motorcycle,46.55,50.0,False,58.04,1451,826,441,910,566
1195,car,51.92,50.0,True,58.76,1469,704,389,860,562
1145,motorcycle,34.62,50.0,False,61.28,1532,508,480,574,562
1272,motorcycle,48.21,50.0,False,61.56,1539,620,473,679,561
1309,motorcycle,37.5,50.0,False,62.36,1559,411,473,471,561
1349,motorcycle,45.0,50.0,False,63.2,1580,696,460,778,576
1368,car,38.57,50.0,False,63.72,1593,762,396,913,568
1274,motorcycle,12.39,50.0,False,64.16,1604,301,440,411,561
1378,motorcycle,32.93,50.0,False,64.44,1611,443,485,494,564
1398,motorcycle,37.5,50.0,False,65.16,1629,482,437,558,561
1410,car,33.75,50.0,False,66.64,1666,633,377,790,567
1581,motorcycle,33.75,50.0,False,72.92,1823,508,475,567,563
1603,motorcycle,48.21,50.0,False,72.96,1824,898,447,979,564
1608,motorcycle,40.91,50.0,False,73.08,1827,729,454,800,560
1595,motorcycle,30.0,50.0,False,73.12,1828,416,483,476,563
1610,motorcycle,43.55,50.0,False,73.2,1830,655,482,708,562
1600,motorcycle,39.71,50.0,False,73.56,1839,999,484,1055,561
2326,motorcycle,33.75,50.0,False,112.6,2815,814,495,868,567
2325,motorcycle,36.49,50.0,False,113.16,2829,776,490,832,563
2347,motorcycle,30.0,50.0,False,114.56,2864,783,494,832,566
